Location,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality
Worldwide,2403963,309.16,624698,165229,0.06873192307868299
United States,764177,2318.81,70172,40591,0.05311727518624612
Spain,198674,4218.1,77357,21238,0.1068987386371644
Italy,178972,2970.81,47055,23660,0.13219945019332632
Germany,145184,1746.06,83438,4586,0.03158750275512453
United Kingdom,120067,1807.27,0,16060,0.13375865141962404
France,112606,1678.78,36578,19718,0.17510612223149744
Turkey,86306,1037.89,11976,2017,0.023370333464649038
China,82747,59.02,77084,4632,0.05597786022453986
Iran,82211,986.56,57023,5118,0.06225444283611682
Russia,42853,292.02,3291,361,0.008424147667607868
Brazil,38654,182.9,14026,2462,0.06369327883272106
Belgium,38496,3340.38,8757,5683,0.14762572734829593
Canada,35056,923.03,11843,1587,0.0452704244637152
Netherlands,32655,1871.24,0,3684,0.11281580156178227
Switzerland,27469,3199.07,17800,1393,0.05071171138374167
Portugal,20206,1966.21,610,714,0.03533603880035633
India,17265,12.69,2547,543,0.031450912250217206
Peru,15628,486.38,6811,400,0.025595085743537242
Ireland,15251,3098.85,0,610,0.03999737722116582
Austria,14710,1652.33,10501,452,0.03072739632902787
Sweden,14385,1392.08,550,1540,0.1070559610705596
Israel,13491,1469.61,3754,172,0.012749240234230227
Japan,10807,85.8,1069,238,0.022022763023965948
South Korea,10674,206.14,8114,236,0.022109799512834927
Chile,10088,527.97,4338,133,0.013183980967486122
Ecuador,9468,542.37,1061,474,0.050063371356147024
Saudi Arabia,9362,273.6,1398,97,0.010361033967101047
Poland,9287,241.98,1040,360,0.03876386346505868
Romania,8746,450.7,1892,434,0.04962268465584267
Pakistan,8348,38.09,1868,168,0.020124580737901295
Mexico,8261,65.26,2627,686,0.08304079409272486
Denmark,7384,1268.13,4141,355,0.04807692307692308
Norway,7078,1318.66,0,165,0.02331166996326646
United Arab Emirates,6781,685.61,1286,41,0.006046305854593718
Czechia,6746,630.82,1298,186,0.02757189445597391
Australia,6618,257.86,4230,71,0.010728316711997582
Singapore,6588,1155.06,768,11,0.0016697024893746206
Indonesia,6575,24.63,686,582,0.0885171102661597
